case_id,transaction_amount,payment_method,device_type,revenue_event,failure_reason,retry_count,recovery_eligible,customer_age,customer_city,behavior_transactions,behavior_total_spend,behavior_average_order_value,behavior_avg_session_minutes,behavior_avg_pages,behavior_returning_rate,behavior_avg_rating,behavior_avg_delivery_days,historical_transactions,historical_total_spend,historical_average_order_value,historical_median_order_value,historical_max_order_value,historical_total_quantity,days_since_last_purchase,customer_lifetime_days,purchase_frequency_per_30d,distinct_products,distinct_countries,favorite_product,customer_value_segment,risk_amount,risk_payment_method,risk_device_type,failed_transactions_24h,transaction_frequency_24h,unusual_amount_flag,unusual_location_flag,multiple_transactions_short_time,high_risk_device_flag,velocity_flag,previous_fraud_flag,risk_score,risk_signal_count,automated_recovery_risk,retry_expected_probability,payment_link_expected_probability,reminder_expected_probability,escalation_expected_probability,retry_expected_recovery,payment_link_expected_recovery,reminder_expected_recovery,escalation_expected_recovery,counterfactual_optimal_action_unconstrained,estimated_optimal_recovery_unconstrained,high_risk_case,policy_recommended_action,selected_action_probability,actual_outcome,actual_recovery_success,actual_recovered_amount,baseline_action,baseline_expected_recovery,baseline_recovery_success,baseline_actual_recovered_amount
CASE_007100,800.82,Debit Card,Tablet,payment_failure,bank_timeout,0,False,28.0,Istanbul,1,800.82,800.82,15.0,7.0,1.0,1.0,3.0,43,4656.55,108.29186046511629,45.96,1012.8000000000001,399,91,16,80.625,37,1,Bundle Of 3 Alphabet Exercise Books,medium,6.57,Debit Card,Tablet,0,1,False,False,False,False,False,True,,1,low,0.6592,0.3853,0.3035,0.5,527.9,308.56,243.05,400.41,RETRY_PAYMENT,527.9,True,ESCALATE_TO_HUMAN,0.5,recovered,True,800.82,ESCALATE_TO_HUMAN,400.41,False,0.0
CASE_000142,1258.33,Apple Pay,Tablet,payment_failure,insufficient_funds,0,False,41.0,Bursa,1,1258.33,1258.33,12.0,8.0,1.0,2.0,2.0,12,1414.52,117.87666666666667,175.46,281.76,119,64,255,1.411764705882353,9,1,Heart Of Wicker Large,low,193.38,Apple Pay,Tablet,4,11,True,False,True,False,True,False,,4,high,0.2479,0.2327,0.1941,0.77,311.94,292.81,244.24,968.91,ESCALATE_TO_HUMAN,968.91,True,ESCALATE_TO_HUMAN,0.77,escalated,False,0.0,ESCALATE_TO_HUMAN,968.91,True,1258.33
CASE_001542,773.64,Debit Card,Tablet,repeated_payment_failure,repeated_declines,2,False,33.0,Bursa,1,773.64,773.64,13.0,6.0,1.0,5.0,5.0,94,25382.46,270.026170212766,143.51999999999998,1166.4,2208,7,327,8.623853211009173,51,1,Beware Of The Cat Metal Sign,very_high,86.28,Debit Card,Tablet,3,5,True,True,False,False,False,True,,4,high,0.02,0.2319,0.2009,0.85,15.47,179.41,155.42,657.59,ESCALATE_TO_HUMAN,657.59,True,ESCALATE_TO_HUMAN,0.85,recovered,True,773.64,ESCALATE_TO_HUMAN,657.59,True,773.64
CASE_005718,214.58,Google Pay,Tablet,payment_failure,bank_timeout,0,True,42.0,Istanbul,1,214.58,214.58,22.0,12.0,0.0,5.0,7.0,35,701.73,20.04942857142857,18.57,61.900000000000006,102,10,0,35.0,34,1,Paper Lantern 9 Point Snow Star,low,11.62,Google Pay,Tablet,1,3,False,True,False,False,False,False,,1,low,0.6257,0.3548,0.2787,0.5,134.26,76.13,59.8,107.29,RETRY_PAYMENT,134.26,False,RETRY_PAYMENT,0.6257,recovered,True,214.58,RETRY_PAYMENT,134.26,False,0.0
CASE_002056,77.73,Credit Card,Desktop,checkout_abandonment,customer_inactivity,0,False,43.0,Istanbul,1,77.73,77.73,3.0,13.0,1.0,5.0,6.0,61,5734.679999999999,94.0111475409836,69.17999999999999,383.36,491,59,237,7.721518987341772,37,1,Antique Silver Tea Glass Engraved,high,0.8,Credit Card,Desktop,3,14,False,True,True,False,True,True,,5,high,0.2152,0.4169,0.1909,0.85,16.73,32.41,14.84,66.07,ESCALATE_TO_HUMAN,66.07,True,ESCALATE_TO_HUMAN,0.85,recovered,True,77.73,ESCALATE_TO_HUMAN,66.07,True,77.73
CASE_002778,770.72,Apple Pay,Desktop,invoice_overdue,payment_not_received,0,False,29.0,Kayseri,1,770.72,770.72,11.0,8.0,1.0,4.0,11.0,22,862.12,39.18727272727273,23.06,196.20000000000002,68,45,201,3.2835820895522385,22,1,Antique Glass Dressing Table Pot,low,165.43,Apple Pay,Desktop,1,12,True,False,True,False,True,False,,3,medium,0.3087,0.2844,0.4137,0.5,237.92,219.19,318.85,385.36,ESCALATE_TO_HUMAN,385.36,True,ESCALATE_TO_HUMAN,0.5,escalated,False,0.0,ESCALATE_TO_HUMAN,385.36,False,0.0
CASE_005024,1629.35,Google Pay,Mobile,invoice_overdue,payment_not_received,0,False,43.0,Ankara,1,1629.35,1629.35,6.0,8.0,0.0,1.0,6.0,70,9736.92,139.09885714285716,86.88,868.8000000000001,1223,7,294,7.142857142857142,64,1,Baking Set 9 Piece Retrospot,high,292.98,Google Pay,Mobile,4,5,True,True,False,False,False,True,,4,high,0.1603,0.1683,0.3322,0.85,261.18,274.22,541.27,1384.95,ESCALATE_TO_HUMAN,1384.95,True,ESCALATE_TO_HUMAN,0.85,recovered,True,1629.35,ESCALATE_TO_HUMAN,1384.95,True,1629.35
CASE_002222,456.14,Apple Pay,Mobile,repeated_payment_failure,multiple_bank_failures,2,False,36.0,Gaziantep,1,456.14,456.14,8.0,8.0,1.0,4.0,9.0,61,2992.59,49.05885245901639,21.72,639.0,348,2,21,87.14285714285715,45,1,Gardeners Kneeling Pad Keep Calm,medium,56.64,Apple Pay,Mobile,0,12,False,True,True,True,True,False,,4,high,0.02,0.2598,0.2192,0.85,9.12,118.51,99.99,387.72,ESCALATE_TO_HUMAN,387.72,True,ESCALATE_TO_HUMAN,0.85,recovered,True,456.14,ESCALATE_TO_HUMAN,387.72,True,456.14
CASE_005823,1447.74,Credit Card,Mobile,checkout_abandonment,customer_inactivity,0,False,19.0,Istanbul,1,1447.74,1447.74,11.0,6.0,1.0,4.0,5.0,47,1576.44,33.541276595744684,23.84,209.88,116,158,15,94.0,47,1,Big Doughnut Fridge Magnets,low,11.63,Credit Card,Mobile,4,10,False,False,True,False,False,True,,3,medium,0.4328,0.5799,0.2993,0.5,626.58,839.54,433.31,723.87,CREATE_PAYMENT_LINK,839.54,True,ESCALATE_TO_HUMAN,0.5,recovered,True,1447.74,ESCALATE_TO_HUMAN,723.87,False,0.0
CASE_002748,3503.98,Apple Pay,Desktop,checkout_abandonment,customer_inactivity,0,True,54.0,Ankara,1,3503.98,3503.98,14.0,13.0,1.0,5.0,4.0,121,24293.43,200.7721487603306,171.70000000000002,1234.56,1830,17,341,10.64516129032258,62,1,Assorted Colour Bird Ornament,very_high,143.02,Apple Pay,Desktop,3,3,False,True,False,False,False,False,,2,medium,0.468,0.6078,0.3192,0.5,1639.86,2129.72,1118.47,1751.99,CREATE_PAYMENT_LINK,2129.72,False,CREATE_PAYMENT_LINK,0.6078,recovered,True,3503.98,CREATE_PAYMENT_LINK,2129.72,True,3503.98
